ResponseId,Poet,condition,beautiful,imagery,inspiring,lyrical,meaningful,mood_emotion,moving,original,overall_quality,profound,rhyme,rhythm,sound,theme,witty,poem_ID,word_count,line_count,stanzas,four_line_stanzas,rhymes_binary,all_lines_rhyme,first_person,Frequency,Like poetry,College Major,Background in poetry,Age,Gender,Authorship,Discrimination Response,correct
R_0kSwH1Vj2fq4Jln,Samuel Butler,human,6.0,5.0,5.0,7.0,5.0,7.0,5.0,4.0,6.0,5.0,3.0,7.0,7.0,7.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per week,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",66,Male,AI,,
R_0p9vEcCrNVchMkh,Samuel Butler,human,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,I did not go to college/did not have a major,"I have written poetry, but not professionally",48,Male,AI,,
R_0v2OVeCCAlFDMoV,Samuel Butler,AI,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,49,Female,AI,,
R_11Y2wm9smiV9BPV,Samuel Butler,AI,3.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",52,Female,AI,,
R_11Z3bLokXVfo53G,Samuel Butler,nothing,1.0,4.0,2.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0,4.0,4.0,7.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,44,Female,AI,AI,1.0
R_11beTyeBjW7o2E5,Samuel Butler,nothing,2.0,4.0,2.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",32,Female,AI,AI,1.0
R_11iQj0PtyrRV4sP,Samuel Butler,nothing,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per year,Dislike poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,30,Male,AI,AI,1.0
R_12FMnCXbBYUVXec,Samuel Butler,human,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,3.0,6.0,6.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,65,Female,AI,,
R_12KjR9bndvYA69z,Samuel Butler,AI,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",60,Female,AI,,
R_12RzihAK4DAtBwl,Samuel Butler,nothing,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,4,88,12,3,yes,yes,yes,no,A few times per week,Love poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",52,Male,AI,human,0.0
R_12ilBy27y7Dl3Te,Samuel Butler,human,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,24,Female,AI,,
R_1CKnYtvA0B2qDD2,Samuel Butler,human,5.0,4.0,1.0,6.0,1.0,4.0,1.0,7.0,4.0,1.0,3.0,7.0,5.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,I did not go to college/did not have a major,"I have written poetry, but not professionally",33,Female,AI,,
R_1Cdw04alsxINIzD,Samuel Butler,AI,6.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0,7.0,5.0,3.0,7.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",59,Male,AI,,
R_1Cmb2t0Hbmhyc6E,Samuel Butler,AI,2.0,6.0,2.0,6.0,6.0,7.0,2.0,6.0,6.0,2.0,3.0,6.0,6.0,7.0,6.0,4,88,12,3,yes,yes,yes,no,Every day,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,47,Male,AI,,
R_1CvzvoQdRx7AbcT,Samuel Butler,human,4.0,4.0,4.0,7.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,6.0,5.0,4.0,6.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Dislike poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,23,Male,AI,,
R_1Cw02PzIIZmt6Se,Samuel Butler,nothing,4.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per year,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",44,Female,AI,AI,1.0
R_1DI7ja1l6mMIV4c,Samuel Butler,AI,3.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,24,Male,AI,,
R_1DJdfCCKRv2Dxuj,Samuel Butler,AI,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per week,Love poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",41,Male,AI,,
R_1DqVdXicpOo3jia,Samuel Butler,nothing,5.0,6.0,4.0,7.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,7.0,7.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",21,Female,AI,human,0.0
R_1E6zxloFNrdyEqn,Samuel Butler,nothing,3.0,6.0,5.0,6.0,5.0,4.0,2.0,6.0,5.0,4.0,3.0,6.0,6.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,29,Male,AI,human,0.0
R_1E70Rgp05wDYJ36,Samuel Butler,AI,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,61,Male,AI,,
R_1F4BTkz9xaGAKvX,Samuel Butler,AI,2.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"English, literature, poetry, or similar",I am familiar with multiple poets and genres of poetry,23,Female,AI,,
R_1FJxNsuitBQ9p2u,Samuel Butler,human,7.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,38,Male,AI,,
R_1FR4rj2Z6K9QZxG,Samuel Butler,human,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,66,Female,AI,,
R_1FaoeO1OO1NtCGN,Samuel Butler,human,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",57,Female,AI,,
R_1Fb1Zeku7jutOGF,Samuel Butler,nothing,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,4,88,12,3,yes,yes,yes,no,Never,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,29,Male,AI,human,0.0
R_1FrYpfUrW0MOX40,Samuel Butler,AI,2.0,3.0,2.0,6.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,6.0,4.0,4.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,60,Female,AI,,
R_1FsSGg3EC3NzmdW,Samuel Butler,AI,3.0,4.0,3.0,6.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,39,Male,AI,,
R_1GPqZo43e0nJSrn,Samuel Butler,nothing,3.0,7.0,3.0,6.0,5.0,5.0,2.0,6.0,5.0,2.0,3.0,6.0,6.0,7.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",25,Female,AI,human,0.0
R_1GQzSqSOfpt2czN,Samuel Butler,nothing,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,2.0,6.0,6.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"English, literature, poetry, or similar","I have read a lot of poetry, but have never written poetry",37,Female,AI,human,0.0
R_1GxWRuXAyK0UWDz,Samuel Butler,human,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",42,Male,AI,,
R_1HqvpYo9RtYwv7S,Samuel Butler,AI,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"English, literature, poetry, or similar",I am familiar with multiple poets and genres of poetry,57,Female,AI,,
R_1IAzYUsdeitV9h8,Samuel Butler,human,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,3.0,7.0,7.0,7.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",44,Female,AI,,
R_1IGfryQyit0QreQ,Samuel Butler,AI,2.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per year,Love poetry,I did not go to college/did not have a major,"I have read a lot of poetry, but have never written poetry",38,Female,AI,,
R_1IRjXmVUYNacgUq,Samuel Butler,AI,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",25,Male,AI,,
R_1IXedG92OKsTaGM,Samuel Butler,AI,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,1.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,49,Male,AI,,
R_1IhIIVwiJIdH8Vd,Samuel Butler,nothing,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,7.0,7.0,7.0,4,88,12,3,yes,yes,yes,no,A few times per week,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,50,Male,AI,human,0.0
R_1JDXoYfnOrzzYfY,Samuel Butler,nothing,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,6.0,3.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Dislike poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",36,Male,AI,human,0.0
R_1JDgSyCkJGkLPJc,Samuel Butler,nothing,5.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,I did not go to college/did not have a major,"I have written poetry, but not professionally",59,Female,AI,human,0.0
R_1JECbIO48gjVm2V,Samuel Butler,nothing,5.0,5.0,7.0,5.0,7.0,6.0,6.0,5.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,Every day,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",20,Female,AI,human,0.0
R_1JEqKlGwfJFWCBw,Samuel Butler,human,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,21,Female,AI,,
R_1JJwpfdQ6dnxatw,Samuel Butler,AI,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",59,Female,AI,,
R_1JXxZQTNBfpBW1w,Samuel Butler,nothing,5.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,4.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",61,Female,AI,AI,1.0
R_1K43P7m55PI5PhE,Samuel Butler,human,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,3.0,6.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,I did not go to college/did not have a major,"I have written poetry, but not professionally",26,Non-binary / third gender,AI,,
R_1K8fhvbA2Htg4aK,Samuel Butler,AI,4.0,4.0,1.0,5.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,52,Female,AI,,
R_1KdpPcAZ7M1kyuy,Samuel Butler,human,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,I did not go to college/did not have a major,I am familiar with multiple poets and genres of poetry,27,Male,AI,,
R_1KkY8xzXWGTjAtu,Samuel Butler,AI,3.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,7.0,5.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,I did not go to college/did not have a major,I am not very familiar with poetry,50,Male,AI,,
R_1KpCzzkem9FDBg7,Samuel Butler,nothing,3.0,4.0,4.0,6.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",32,Male,AI,AI,1.0
R_1Kwk3ViMnGofmdB,Samuel Butler,nothing,4.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,33,Female,AI,AI,1.0
R_1LGukNh0K7jPvbz,Samuel Butler,nothing,5.0,5.0,5.0,7.0,5.0,4.0,6.0,6.0,7.0,5.0,3.0,7.0,7.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",18,Female,AI,human,0.0
R_1LHBFe0fVqnFF3t,Samuel Butler,AI,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",49,Male,AI,,
R_1LNzYS3mg5Nocb4,Samuel Butler,human,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,39,Male,AI,,
R_1LTf7CwYTG6uSdb,Samuel Butler,human,3.0,5.0,3.0,6.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,6.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",44,Male,AI,,
R_1LTpb4rPZ1W7LgZ,Samuel Butler,human,4.0,7.0,5.0,7.0,6.0,7.0,3.0,5.0,6.0,4.0,3.0,7.0,7.0,7.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",23,Female,AI,,
R_1Lb1D0duCvXchJW,Samuel Butler,human,6.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,3.0,7.0,7.0,7.0,6.0,4,88,12,3,yes,yes,yes,no,Never,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,52,Male,AI,,
R_1LcHFjVP9v0mQoW,Samuel Butler,human,6.0,5.0,3.0,7.0,6.0,7.0,3.0,7.0,7.0,5.0,3.0,7.0,7.0,7.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",39,Male,AI,,
R_1Le4NTC6lGYtwT5,Samuel Butler,nothing,3.0,4.0,4.0,4.0,3.0,6.0,3.0,4.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,I did not go to college/did not have a major,I am familiar with multiple poets and genres of poetry,36,Male,AI,human,0.0
R_1LkedNzgdZSvf6F,Samuel Butler,AI,5.0,6.0,4.0,7.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"English, literature, poetry, or similar","I have read a lot of poetry, but have never written poetry",31,Non-binary / third gender,AI,,
R_1M535nHvA4JKvx7,Samuel Butler,AI,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Hate poetry,I did not go to college/did not have a major,I am not very familiar with poetry,62,Female,AI,,
R_1MMwX80tVKwaadB,Samuel Butler,AI,5.0,6.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,3.0,7.0,6.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,I did not go to college/did not have a major,I am not very familiar with poetry,43,Female,AI,,
R_1MRL0R3CyOTZMPU,Samuel Butler,AI,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",56,Male,AI,,
R_1MYf9BkeVMwJwXS,Samuel Butler,nothing,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,A few times per month,Love poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",41,Male,AI,AI,1.0
R_1MYtUASiNzE6gdp,Samuel Butler,AI,4.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",41,Female,AI,,
R_1N84gPvTbESzUvV,Samuel Butler,AI,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,59,Female,AI,,
R_1NCWreztTsvR7WA,Samuel Butler,AI,5.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,3.0,5.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,52,Female,AI,,
R_1NFI4eAi7JiUO1g,Samuel Butler,human,4.0,3.0,2.0,7.0,5.0,4.0,2.0,3.0,6.0,5.0,3.0,4.0,4.0,5.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)","I have written poetry, but not professionally",20,Male,AI,,
R_1NaF5hXQ62Lrrzm,Samuel Butler,AI,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"English, literature, poetry, or similar","I have written poetry, but not professionally",23,Male,AI,,
R_1NqVdMApcJMlkA4,Samuel Butler,AI,5.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,23,Male,AI,,
R_1Nwfcn0INFDVrxX,Samuel Butler,nothing,5.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,1.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,37,Female,AI,human,0.0
R_1NxHE4MbHF0Pqjk,Samuel Butler,nothing,2.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per month,Indifferent to poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",24,Male,AI,human,0.0
R_1OYPtUNjnljwGqB,Samuel Butler,human,6.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",22,Female,AI,,
R_1OjZfU7yA4sREVB,Samuel Butler,human,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per week,Love poetry,I did not go to college/did not have a major,"I have written poetry, but not professionally",26,Male,AI,,
R_1OkqxrMst6yhnoV,Samuel Butler,nothing,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,5.0,3.0,6.0,2.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am a professional poet,43,Male,AI,AI,1.0
